"delrank","epinumpeaks5"
-0.1898,5
1.45457,3
-0.56028,5
0.073764824120603,5
0.0182349999999998,4
0.515015,4
-0.360455,4
-0.341965,5
-0.429725,5
0.339875653266332,4
0.111425427135678,4
-0.0171991902834003,5
-0.0912750000000002,5
1.32008775510204,2
-0.60002,5
1.47304525380711,3
0.0846,4
2.601415,3
0.21645,5
2.66,2
1.64112554112554,3
-0.599155,5
0.2643,4
0.23565,4
1.196335,4
1.894055,3
0.581677046850414,4
0.524065,3
0.187245,5
0.373485,5
2.43560412060302,4
-0.40152,5
0.152441218189403,4
0.66295297979798,4
0.1375,4
1.218355,3
-0.0322549999999993,5
-0.214515,5
0.802805,3
0.0516659352860311,5
0.720715,3
0.126025,5
0.174995,5
0.0102500000000001,5
-0.26865,4
0.19713,4
-0.13765,4
0.54022,2
-0.302165,4
0.142665,5
0.45911,4
0.296035,4
0.49236,4
0.6382,4
-0.51179,3
0.943784740932643,4
0.234224598930481,5
-0.17235,5
0.87301,4
-0.55578,4
0.0115384615384615,5
0.0349349999999999,5
-0.035615,5
1.009745,4
0.153915,4
-0.31439,5
0.72672,4
0.124035,5
-0.17728,5
0.9408,4
0.489313743718593,3
1.2560097715736,4
-0.15617,4
1.128595,3
1.018995,3
0.13072,4
0.21418,4
1.52536180904523,4
0.885696582914573,3
-0.33198994949495,5
0.044295,3
-0.698915,4
-0.045079358974359,4
-0.59412,4
0.156722211055276,5
-0.214206030150754,5
0.291095,4
-1.18188,5
1.30032310344828,3
0.178432385786802,4
1.62400829145729,4
0.23419614213198,5
0.756,4
-0.35834,4
0.71773949704142,3
0.670565,3
0.172815,5
1.50796653266332,3
1.57690518587941,4
0.349186532663317,4
1.15564,3
-0.590455,5
0.810682231588287,3
-0.476755,5
0.914295473532316,4
1.50468,4
1.51230388333957,4
-0.25582,4
0.28535,4
0.400939999999999,5
0.284292288099618,4
-1.02048743718593,5
0.0377963609467455,5
0.345985,3
1.50162067839196,4
0.975545,3
-0.3925,5
0.485845,4
-0.0671750000000002,5
0.344623040201005,4
0.525511774542863,3
1.90621,4
0.657875301507538,3
0.020095,5
2.05964688442211,3
0.807146326530612,4
2.09431852331606,3
0.948725,5
0.664965276381909,5
-0.53452303030303,4
-0.18565,5
0.0286949999999999,4
1.369125,3
2.12904083333333,4
-0.426455,4
0.468706794871795,3
1.003845,3
0.0439749497487441,5
-0.0584799999999999,5
-0.0774650000000001,5
0.110205,5
-0.24448,3
0.231805,4
0.66124,3
0.14486,4
-0.277005,5
0.232380958549223,5
0.45305,4
1.25372864321608,3
-0.412843592964824,5
1.21632969849246,3
0.47082,3
-0.715135000000001,4
-0.0174150000000002,4
1.49608911917098,3
-1.00022797927461,5
0.0457649999999998,4
1.689405,2
-0.575688798920378,3
-0.14732,5
-0.2263,3
0.0705299999999998,4
0.25038,5
1.77804916666667,2
-0.137904522613066,4
0.801840974358974,3
-0.13158,4
-0.3928,4
-0.261135,5
0.16413,4
0.464557346938775,5
-0.0379700000000001,3
1.71123560913706,3
-0.16437,4
0.346465,4
0.502005,4
-0.3496,5
0.334465,3
2.78589467336683,3
-0.0918349999999997,3
-0.0362046231155779,2
0.146947765957447,5
0.910843591160221,3
-0.66219,4
-0.00914000000000015,4
1.54775,4
-0.210815,5
1.36654567839196,3
0.0900650000000001,5
